# Maximum daily temperatures for New York City, 2019
# Source: https://www.climate.gov/maps-data/dataset/past-weather-zip-code-data-table
"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-01","--","11.7","-2.8","11.1"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-02","--","12.8","0.0","0.6"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-03","--","3.3","0.0","3.3"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-04","--","5.6","-3.3","-2.8"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-05","--","6.1","-3.3","4.4"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-06","--","7.8","1.7","5.0"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-07","--","8.9","-5.0","-5.0"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-08","--","0.0","-5.0","-0.6"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-09","--","5.0","-0.6","4.4"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-10","--","6.7","-1.1","0.0"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-11","--","0.0","-7.2","-7.2"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-12","--","-1.7","-8.3","-7.8"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-13","--","0.0","-7.8","-5.0"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-14","--","0.0","-8.3","-8.3"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-15","--","0.0","-8.9","-5.0"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-16","--","1.7","-7.8","-6.7"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-17","--","2.8","-6.7","-5.6"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-18","--","-0.6","-6.1","-3.3"
"USC00280907","BOONTON 1 SE, NJ US","2019-01-19","--","1.7","-4.4","-3.3"
